ciclo,hora,geracao_kwh,consumo_kwh,reserva_pct,temperatura_interna,radiacao_mSv,qualidade_comunicacao,pressao_interna,suporte_vida,energia,comunicacao,habitat,laboratorio,armazenamento
14,06:00,45,38,72,21.2,1.4,85,101.3,1,1,1,1,1,1
14,09:00,62,55,74,21.5,1.8,80,101.2,1,1,1,1,1,1
14,12:00,78,82,70,22.1,2.2,70,101.1,1,1,1,1,1,1
14,15:00,71,88,58,22.8,2.9,60,101.0,1,1,1,1,1,1
14,18:00,30,91,38,23.4,3.4,45,100.8,1,1,0,1,1,1
14,21:00,12,94,22,23.8,3.8,34,100.6,1,1,0,1,1,1
15,06:00,48,85,18,24.1,4.1,28,100.4,1,1,0,1,0,1
15,09:00,65,80,20,24.0,3.9,30,100.5,1,1,0,1,0,1
15,12:00,80,75,28,23.5,3.5,38,100.7,1,1,0,1,0,1
15,15:00,74,70,35,23.1,3.1,50,100.9,1,1,1,1,1,1
15,18:00,35,78,30,23.6,3.6,42,100.8,1,1,1,1,1,1
15,21:00,10,88,19,24.2,4.0,25,100.3,1,0,0,1,0,1
16,06:00,50,90,14,24.8,4.5,18,100.1,1,0,0,1,0,0
16,09:00,67,86,16,24.5,4.2,22,100.2,1,0,0,1,0,0
16,12:00,82,78,24,24.0,3.7,35,100.5,1,1,0,1,0,0
16,15:00,76,72,32,23.4,3.2,55,100.8,1,1,1,1,1,1
16,18:00,38,80,28,23.9,3.6,40,100.6,1,1,1,1,1,1
16,21:00,14,92,16,24.6,4.3,20,100.2,1,0,0,1,0,0
